code,name,pinyin,pinyin_full,market
00133,招商局中国基金,zsjzgjj,zhaoshangjuzhongguojijin,港股
00135,昆仑能源,klny,kunlunnengyuan,港股
00136,中国儒意,zgry,zhongguoruyi,港股
00137,金辉集团,jhjt,jinhuijituan,港股
00138,中建富通,zjft,zhongjianfutong,港股
00139,小鱼盈通,xyyt,xiaoyuyingtong,港股
00142,第一太平,dytp,diyitaiping,港股
00144,招商局港口,zsjgk,zhaoshangjugangkou,港股
00145,信能低碳,xndt,xinnengditan,港股
00146,TAI PING CARPET,tai ping carpet,tai ping carpet,港股
00147,国际商业结算,gjsyjs,guojishangyejiesuan,港股
00148,建滔集团,jtjt,jiantaojituan,港股
00149,中国农产品交易,zgncpjy,zhongguonongchanpinjiaoyi,港股
00150,HYPEBEAST,hypebeast,hypebeast,港股
00151,中国旺旺,zgww,zhongguowangwang,港股
00152,深圳国际,szgj,shenzhenguoji,港股
00154,北京控股环境集团,bjkghjjt,beijingkongguhuanjingjituan,港股
00156,力宝华润,lbhr,libaohuarun,港股
00157,自然美,zrm,ziranmei,港股
00158,万邦投资,wbtz,wanbangtouzi,港股
00159,布莱克万矿业,blkwky,bulaikewankuangye,港股
00160,汉国置业,hgzy,hanguozhiye,港股
00162,世纪金花,sjjh,shijijinhua,港股
00163,英皇国际,yhgj,yinghuangguoji,港股
00164,中国宝力科技,zgblkj,zhongguobaolikeji,港股
00165,中国光大控股,zggdkg,zhongguoguangdakonggu,港股
00166,新时代集团控股,xsdjtkg,xinshidaijituankonggu,港股
00167,IDT INT'L,idt int'l,idt int'l,港股
00168,青岛啤酒股份,qdpjgf,qingdaopijiugufen,港股
00169,万达酒店发展,wdjdfz,wandajiudianfazhan,港股
00171,银建国际,yjgj,yinjianguoji,港股
00173,嘉华国际,jhgj,jiahuaguoji,港股
00174,盛洋投资,sytz,shengyangtouzi,港股
00175,吉利汽车,jlqc,jiliqiche,港股
00176,先机企业集团,xjqyjt,xianjiqiyejituan,港股
00177,江苏宁沪高速公路,jsnhgsgl,jiangsuninghugaosugonglu,港股
00178,莎莎国际,ssgj,shashaguoji,港股
00179,德昌电机控股,dcdjkg,dechangdianjikonggu,港股
00180,开达集团,kdjt,kaidajituan,港股
00181,闽港控股,mgkg,mingangkonggu,港股
00182,协合新能源,xhxny,xiehexinnengyuan,港股
00183,宏辉集团,hhjt,honghuijituan,港股
00184,激成投资,jctz,jichengtouzi,港股
00185,正商实业,zssy,zhengshangshiye,港股
00186,敏捷控股,mjkg,minjiekonggu,港股
00187,京城机电股份,jcjdgf,jingchengjidiangufen,港股
00188,新华汇富金融,xhhfjr,xinhuahuifujinrong,港股
00189,东岳集团,dyjt,dongyuejituan,港股
00191,丽新国际,lxgj,lixinguoji,港股
00193,冠中地产,gzdc,guanzhongdichan,港股
00194,廖创兴企业,lcxqy,liaochuangxingqiye,港股
00195,绿科科技国际,lkkjgj,lvkekejiguoji,港股
00196,宏华集团,hhjt,honghuajituan,港股
00197,亨泰,ht,hengtai,港股
00199,德祥地产,dxdc,dexiangdichan,港股
00200,新濠国际发展,xhgjfz,xinhaoguojifazhan,港股
00201,华大酒店,hdjd,huadajiudian,港股
00202,润中国际控股,rzgjkg,runzhongguojikonggu,港股
00204,资本界金控,zbjjk,zibenjiejinkong,港股
00205,BFB HEALTH,bfb health,bfb health,港股
00206,华商能源,hsny,huashangnengyuan,港股
00209,万维智能科技,wwznkj,wanweizhinengkeji,港股
00210,达芙妮国际,dfngj,dafuniguoji,港股
00211,STYLAND HOLD,styland hold,styland hold,港股
00212,NANYANG HOLD,nanyang hold,nanyang hold,港股
00213,NATIONAL ELEC H,national elec h,national elec h,港股
00214,汇汉控股,hhkg,huihankonggu,港股
00215,和记电讯香港,hjdxxg,hejidianxunxianggang,港股
00216,建业实业,jysy,jianyeshiye,港股
00217,中国诚通发展集团,zgctfzjt,zhongguochengtongfazhanjituan,港股
00218,申万宏源香港,swhyxg,shenwanhongyuanxianggang,港股
00219,顺豪物业,shwy,shunhaowuye,港股
00220,统一企业中国,tyqyzg,tongyiqiyezhongguo,港股
00222,闽信集团,mxjt,minxinjituan,港股
00223,易生活控股,yshkg,yishenghuokonggu,港股
00224,建生国际,jsgj,jianshengguoji,港股
00225,博富临置业,bflzy,bofulinzhiye,港股
00227,第一上海,dysh,diyishanghai,港股
00228,中能控股,znkg,zhongnengkonggu,港股
00229,利民实业,lmsy,liminshiye,港股
00232,大陆航空科技控股,dlhkkjkg,daluhangkongkejikonggu,港股
00234,新世纪集团,xsjjt,xinshijijituan,港股
00235,中策资本控股,zczbkg,zhongcezibenkonggu,港股
00236,香港生力啤,xgslp,xianggangshenglipi,港股
00237,安全货仓,aqhc,anquanhuocang,港股
00239,白花油,bhy,baihuayou,港股
00240,利基控股,ljkg,lijikonggu,港股
00241,阿里健康,aljk,alijiankang,港股
00242,信德集团,xdjt,xindejituan,港股
00243,QPL INT'L,qpl int'l,qpl int'l,港股
00244,先施,xs,xianshi,港股
00245,中薇金融,zwjr,zhongweijinrong,港股
00247,TST PROPERTIES,tst properties,tst properties,港股
00248,香港通讯国际控股,xgtxgjkg,xianggangtongxunguojikonggu,港股
00251,爪哇控股,zwkg,zhaowakonggu,港股
00252,华信地产财务,hxdccw,huaxindichancaiwu,港股
00253,顺豪控股,shkg,shunhaokonggu,港股
00254,国家联合资源,gjlhzy,guojialianheziyuan,港股
